ENG,KOR
ENCODED_MCT,가맹점 구분번호
MCT_BSE_AR,가맹점 주소
MCT_NM,가맹점명
MCT_BRD_NUM,브랜드 구분 코드
HPSN_MCT_ZCD_NM,업종
HPSN_MCT_BZN_CD_NM,상권
ARE_D,개설일
MCT_ME_D,폐업일
TA_YM,기준년 월
MCT_OPE_MS_CN,가맹점 운영 개월 수 구간
RC_M1_SAA,매출 금액 구간
RC_M1_TO_UE_CT,매출 건수 구간
RC_M1_UE_CUS_CN,유니크 고객 수 구간
RC_M1_AV_NP_AT,객단가 구간
APV_CE_RAT,취소율 구간
DLV_SAA_RAT,배달 매출 금액 비율
M1_SME_RY_SAA_RAT,동일 업종 매출 금액 비율
M1_SME_RY_CNT_RAT,동일 업종 매출 건수 비율
M12_SME_RY_SAA_PCE_RT,동일 업종 내 매출 순위 비율
M12_SME_BZN_SAA_PCE_RT,동일 상권 내 매출 순위 비율
M12_SME_RY_ME_MCT_RAT,동일 업종 내 해지 가맹점 비중
M12_SME_BZN_ME_MCT_RAT,동일 상권 내 해지 가맹점 비중
M12_MAL_1020_RAT,남성 20대 이하 고객 비중
M12_MAL_30_RAT,남성 30대 고객 비중
M12_MAL_40_RAT,남성 40대 고객 비중
M12_MAL_50_RAT,남성 50대 고객 비중
M12_MAL_60_RAT,남성 60대 이상 고객 비중
M12_FME_1020_RAT,여성 20대 이하 고객 비중
M12_FME_30_RAT,여성 30대 고객 비중
M12_FME_40_RAT,여성 40대 고객 비중
M12_FME_50_RAT,여성 50대 고객 비중
M12_FME_60_RAT,여성 60대 이상 고객 비중
MCT_UE_CLN_REU_RAT,재방문 고객 비중
MCT_UE_CLN_NEW_RAT,신규 고객 비중
RC_M1_SHC_RSD_UE_CLN_RAT,거주 이용 고객 비율
RC_M1_SHC_WP_UE_CLN_RAT,직장 이용 고객 비율
RC_M1_SHC_FLP_UE_CLN_RAT,유동 인구 이용 고객 비율
is_closed,is_closed
is_crisis,is_crisis
LAT,위도
LON,경도
행정동,행정동
총생활인구수,총생활 인구수
남자0세부터9세생활인구수,남자 0세부터 9세 생활 인구수
남자10세부터14세생활인구수,남자 10세부터 14세 생활 인구수
남자15세부터19세생활인구수,남자 15세부터 19세 생활 인구수
남자20세부터24세생활인구수,남자 20세부터 24세 생활 인구수
남자25세부터29세생활인구수,남자 25세부터 29세 생활 인구수
남자30세부터34세생활인구수,남자 30세부터 34세 생활 인구수
남자35세부터39세생활인구수,남자 35세부터 39세 생활 인구수
남자40세부터44세생활인구수,남자 40세부터 44세 생활 인구수
남자45세부터49세생활인구수,남자 45세부터 49세 생활 인구수
남자50세부터54세생활인구수,남자 50세부터 54세 생활 인구수
남자55세부터59세생활인구수,남자 55세부터 59세 생활 인구수
남자60세부터64세생활인구수,남자 60세부터 64세 생활 인구수
남자65세부터69세생활인구수,남자 65세부터 69세 생활 인구수
남자70세이상생활인구수,남자 70세 이상 생활 인구수
여자0세부터9세생활인구수,여자 0세부터 9세 생활 인구수
여자10세부터14세생활인구수,여자 10세부터 14세 생활 인구수
여자15세부터19세생활인구수,여자 15세부터 19세 생활 인구수
여자20세부터24세생활인구수,여자 20세부터 24세 생활 인구수
여자25세부터29세생활인구수,여자 25세부터 29세 생활 인구수
여자30세부터34세생활인구수,여자 30세부터 34세 생활 인구수
여자35세부터39세생활인구수,여자 35세부터 39세 생활 인구수
여자40세부터44세생활인구수,여자 40세부터 44세 생활 인구수
여자45세부터49세생활인구수,여자 45세부터 49세 생활 인구수
여자50세부터54세생활인구수,여자 50세부터 54세 생활 인구수
여자55세부터59세생활인구수,여자 55세부터 59세 생활 인구수
여자60세부터64세생활인구수,여자 60세부터 64세 생활 인구수
여자65세부터69세생활인구수,여자 65세부터 69세 생활 인구수
여자70세이상생활인구수,여자 70세 이상 생활 인구수
지가변동률,지가변동률
지가지수,지가지수
3M_SMA_MCT_OPE_MS_CN,가맹점 운영 개월 수 구간 이동평균
3M_ROC_MCT_OPE_MS_CN,가맹점 운영 개월 수 구간 변화율
3M_SMA_RC_M1_SAA,매출 금액 구간 이동평균
3M_ROC_RC_M1_SAA,매출 금액 구간 변화율
3M_SMA_RC_M1_TO_UE_CT,매출 건수 구간 이동평균
3M_ROC_RC_M1_TO_UE_CT,매출 건수 구간 변화율
3M_SMA_RC_M1_UE_CUS_CN,유니크 고객 수 구간 이동평균
3M_ROC_RC_M1_UE_CUS_CN,유니크 고객 수 구간 변화율
3M_SMA_RC_M1_AV_NP_AT,객단가 구간 이동평균
3M_ROC_RC_M1_AV_NP_AT,객단가 구간 변화율
3M_SMA_총생활인구수,총생활 인구수 이동평균
3M_ROC_총생활인구수,총생활 인구수 변화율
3M_SMA_지가지수,지가지수 이동평균
3M_ROC_지가지수,지가지수 변화율
